Year	MonthDayHour	Month	Day		lon	lat	total_storms	long_dates
1990	012103	01	21	FAUX	288,910889	41,708939	96	1990-01-21T03:00:00
1990	012106	01	21	VRAI	293,195404	41,979839		1990-01-21T06:00:00
1990	012109	01	21	VRAI	297,022125	42,648212		1990-01-21T09:00:00
1990	012112	01	21	VRAI	300,948608	43,774544		1990-01-21T12:00:00
1990	012115	01	21	VRAI	304,610657	45,219181		1990-01-21T15:00:00
1990	012118	01	21	VRAI	308,032532	46,44455		1990-01-21T18:00:00
1990	012121	01	21	VRAI	311,525208	47,063492		1990-01-21T21:00:00
1990	012200	01	22	VRAI	315,441956	48,108612		1990-01-22T00:00:00
1990	012203	01	22	VRAI	319,424652	48,939552		1990-01-22T03:00:00
1990	012206	01	22	VRAI	323,65451	49,740711		1990-01-22T06:00:00
1990	012209	01	22	VRAI	328,385986	50,742744		1990-01-22T09:00:00
1990	012212	01	22	VRAI	333,983643	52,367657		1990-01-22T12:00:00
1990	012215	01	22	VRAI	338,550537	54,163193		1990-01-22T15:00:00
1990	012218	01	22	VRAI	342,319214	56,081779		1990-01-22T18:00:00
1990	012221	01	22	VRAI	345,381348	57,61256		1990-01-22T21:00:00
1990	012300	01	23	VRAI	347,481354	59,430359		1990-01-23T00:00:00
1990	012303	01	23	VRAI	348,955505	60,906483		1990-01-23T03:00:00
1990	012306	01	23	VRAI	349,642426	62,511345		1990-01-23T06:00:00
1990	012309	01	23	VRAI	349,693695	63,578465		1990-01-23T09:00:00
1990	012312	01	23	VRAI	349,61145	64,648735		1990-01-23T12:00:00
1990	012315	01	23	VRAI	349,085846	65,384789		1990-01-23T15:00:00
1990	012318	01	23	VRAI	347,966858	65,905014		1990-01-23T18:00:00
1990	012321	01	23	VRAI	346,738892	66,140305		1990-01-23T21:00:00
1990	012400	01	24	VRAI	345,792297	65,988884		1990-01-24T00:00:00
1990	012403	01	24	VRAI	344,685577	65,738441		1990-01-24T03:00:00
1990	012406	01	24	VRAI	343,98587	65,260757		1990-01-24T06:00:00
1990	012409	01	24	VRAI	343,616211	64,809219		1990-01-24T09:00:00
1990	012412	01	24	VRAI	343,573486	64,515457		1990-01-24T12:00:00
1990	012415	01	24	VRAI	343,444611	64,272751		1990-01-24T15:00:00
1990	012418	01	24	VRAI	343,254211	64,091049		1990-01-24T18:00:00
1990	012421	01	24	VRAI	342,67276	63,82069		1990-01-24T21:00:00
1990	012500	01	25	VRAI	342,009674	63,526958		1990-01-25T00:00:00
1990	012503	01	25	VRAI	340,333374	63,176624		1990-01-25T03:00:00
1990	012506	01	25	VRAI	338,16507	62,449242		1990-01-25T06:00:00
1990	012509	01	25	VRAI	337,026581	61,58926		1990-01-25T09:00:00
1990	012512	01	25	VRAI	336,486816	60,958775		1990-01-25T12:00:00
1990	012515	01	25	VRAI	336,641907	60,723114		1990-01-25T15:00:00
1990	012518	01	25	VRAI	337,001831	60,463165		1990-01-25T18:00:00
1990	012521	01	25	VRAI	337,352783	60,095474		1990-01-25T21:00:00
1990	012600	01	26	VRAI	337,849609	59,918022		1990-01-26T00:00:00
1990	012603	01	26	VRAI	338,004578	59,822754		1990-01-26T03:00:00
1990	012606	01	26	VRAI	338,662262	59,513908		1990-01-26T06:00:00
1990	012609	01	26	VRAI	339,791138	58,781734		1990-01-26T09:00:00
1990	012612	01	26	VRAI	341,671143	58,060493		1990-01-26T12:00:00
1990	012615	01	26	VRAI	343,122467	57,625305		1990-01-26T15:00:00
1990	012618	01	26	VRAI	343,889618	57,151302		1990-01-26T18:00:00
1990	012621	01	26	VRAI	344,765076	56,704544		1990-01-26T21:00:00
1990	012700	01	27	VRAI	345,477539	57,08329		1990-01-27T00:00:00
1990	012703	01	27	VRAI	346,371155	57,196728		1990-01-27T03:00:00
1990	012706	01	27	VRAI	350,525635	58,035305		1990-01-27T06:00:00
1990	012709	01	27	VRAI	350,603516	61,615234		1990-01-27T09:00:00
1990	012712	01	27	VRAI	352,2258	62,126831		1990-01-27T12:00:00
1990	012715	01	27	VRAI	351,652893	62,650208		1990-01-27T15:00:00
1990	012718	01	27	VRAI	352,075134	62,875233		1990-01-27T18:00:00
1990	012721	01	27	VRAI	352,486237	63,091736		1990-01-27T21:00:00
1990	012800	01	28	VRAI	352,718658	63,206249		1990-01-28T00:00:00
1990	012803	01	28	VRAI	352,459442	63,637009		1990-01-28T03:00:00
1990	012806	01	28	VRAI	352,344513	64,257103		1990-01-28T06:00:00
1990	012809	01	28	VRAI	352,226166	64,547066		1990-01-28T09:00:00
1990	012812	01	28	VRAI	352,522858	64,539108		1990-01-28T12:00:00
1990	012815	01	28	VRAI	352,417542	64,954544		1990-01-28T15:00:00
1990	012818	01	28	FIN	353,478241	65,018593		1990-01-28T18:00:00
