,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.021118164
24,0.10430908
25,0.4359131
26,0.7192383
27,0.4989624
28,0.32980347
29,0.3842163
30,0.43551636
31,0.52685547
32,0.78686523
33,0.92163086
34,0.0027770996
35,0.019958496
36,0.2539673
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.028015137
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.000579834
50,0.28497314
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
