,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.19364288
42,0.4023927
43,0.4023927
44,0.67546123
45,0.67546123
46,0.45200127
47,0.45200127
48,0.8197855
49,0.9094044
50,0.9094044
51,0.9094044
52,0.9094044
53,0.8688142
54,0.8688142
55,0.6842202
56,0.6842202
57,0.6922009
58,0.6922009
59,0.5371034
60,0.5036699
61,0.4783239
62,0.4783239
